,french,english
0,Comment tu t'appelles,What you call yourself
1,Je m'appelle xx,My name is xx
2,vous,each person/formal vers
3,appeler/je/tu/il/vous/nous/ils,call/-e/-es/-e/-ez/-ons/-ent
4,petite,small
5,souvenir,memory/souvenir
6,barrage,dam
7,rendezvous,appointment
8,Bonjour,good day
9,Bonsoir,good evening
10,femme,woman
11,petite fille,girl
12,homme,man
13,garçon,boy
14,c'est,it is
15,elle/il,she/him
16,nous/elles/ils,we/they(girl)/they(guy+girl)
17,être/je suis/tu es/il est,is/are
18,au revoir,bye
19,salut,hello
20,voyelles,vowels
21,consonnes,consonants
22,serrer,shake
23,la main,hand
24,bise,kiss greeting
25,pause,pause
26,marche,continue
27,suivez,follow
28,province,france w/o paris
29,connais,know/been to
30,matin/midi/'apres midi/soir/nuit,morning/noon/afternoon/evening/night
31,écoutez et répondez,listen and respond
32,parle/parles/parlez/parlons/parlent,speak
33,lisez,read
34,écrivez,write
35,voisine/voisin,neighbour(vuazin/voizon)
36,un/deux/trois/quatre/cinq,1/2/3/4/5
37,six/sept/huit/neuf/dix,6/7/8/9/10
38,plus/moins/égaler,plus/minus/equals
39,qui,who
40,que/quoi,what
41,comment,how
42,ou,where
43,quand,when
44,pourquoi,why
45,combien,how much
46,quel/quels/quelle/quelles,who/which
47,présenter,to present
48,"Elle, elle s'appelle xx","Her, she calls herself xx"
49,"Lui, il ""","Him, he """
50,encore,again
51,quelqu'un,someone
52,se,yourself
53,blanc/blanche,white
54,vert,green
55,noir,black
56,bleu,blue
57,rouge,red
58,jaune,yellow
59,gris,gray
60,violet,purple
61,marron,brown
62,orange,orange
63,Chanteur/Chanteuse,Singer
64,Nageur/nageuse,Swimmer
65,acteur/actrice,Actor
66,musée,museum
67,cuisinière,chef
68,styliste,stylist
69,chef/cheffe,chief
70,professeur/professeure,professor
71,étudiant/étudiante,student
72,autuer/autrice,author
73,avocat/avocate,lawyer
74,pâtissier,pastry chef
75,journaliste,journalist
76,un sac,bag
77,une montre,watch
78,un téléphone,telephone
79,une maison,house
80,-er,e/es/ez/ons/ent
81,épeler,spell
82,tiret,-
83,là,there
84,carte,map
85,le,the (m)
86,la,the (f)
87,les,the (p)
88,l',the (start w vowel)
89,tu parles quelles langues,speak what lang?
90,choisir,choose
91,habite,live
92,ca va mal,Horrible
93,jeu de rôles,roleplay
